id,extroversion,neurotic,agreeable,conscientious,open,TimeSpent
939857,3.0,3.4,2.2,3.2,3.6,1.62
857375,3.2,3.0,2.0,1.8,3.2,4.02
890673,4.0,3.8,1.8,3.2,4.0,2.03
376429,2.8,3.0,2.6,2.2,3.4,1.25
223069,2.0,2.6,2.4,3.8,4.4,2.94
252231,1.8,3.4,1.8,4.2,4.2,1.67
655924,4.0,2.8,2.2,2.6,3.6,3.54
82784,1.8,3.2,2.8,2.4,3.8,1.41
187350,3.2,2.8,2.0,3.4,2.8,1.44
760661,3.4,3.6,2.6,3.2,4.8,3.27
66374,4.6,3.2,2.0,1.8,4.4,0.95
579347,4.0,3.8,3.0,2.2,3.8,1.58
197020,1.6,4.2,2.4,1.6,3.4,1.14
138,2.8,2.6,2.0,4.6,4.0,1.29
725445,1.0,2.2,1.8,1.2,4.2,1.02
303354,4.6,2.4,3.0,2.4,3.4,1.27
702572,1.8,2.6,2.4,2.8,3.6,2.75
866227,2.4,2.8,3.2,3.8,4.0,1.83
20248,3.8,3.4,2.2,3.0,4.4,1.8
569235,1.6,2.6,2.8,1.6,3.8,1.69
285522,3.0,3.4,2.4,4.8,3.6,4.08
852966,4.2,3.2,2.2,4.2,3.4,3.0
837381,3.8,4.0,3.0,1.0,3.4,1.77
192575,2.0,3.2,2.4,4.4,4.2,2.11
134576,3.2,2.0,1.8,3.0,4.2,1.54
611172,2.2,2.8,2.2,4.0,3.4,2.09
266041,2.2,3.2,1.8,2.6,3.2,3.31
780431,4.0,2.6,2.2,1.6,3.4,0.84
489291,2.8,3.8,3.8,4.0,3.2,1.98
112825,1.8,3.6,3.8,3.8,4.4,1.84
810317,3.4,3.0,2.2,2.6,3.8,1.63
225910,3.6,3.0,1.8,3.0,3.8,2.89
610969,3.6,3.4,3.0,2.4,3.2,1.35
525766,2.0,2.6,1.4,2.0,3.8,1.66
895636,4.6,4.4,2.8,3.6,3.0,1.84
175541,3.8,3.6,2.0,3.8,3.8,2.39
467218,3.2,3.2,2.8,3.6,4.2,1.95
835555,1.0,3.0,2.6,3.0,2.6,1.67
823101,2.0,2.6,3.4,1.6,3.0,2.32
14943,2.8,3.2,3.0,2.4,3.6,1.0
693639,3.4,3.2,3.8,1.0,4.2,2.62
204516,4.0,3.6,2.0,4.8,3.4,1.29
930708,3.0,3.6,1.8,3.8,4.2,1.09
365523,3.0,3.2,2.0,3.8,3.6,1.81
165852,1.4,2.8,3.4,1.4,4.4,1.61
412534,4.0,2.4,2.4,3.2,3.2,1.49
991946,3.2,3.0,2.4,1.4,4.2,1.68
41446,1.2,3.2,3.2,2.6,3.0,1.52
191318,3.0,3.6,2.0,2.6,4.0,3.5
831383,3.0,2.8,2.6,1.6,3.8,3.71
600926,2.0,3.0,2.4,2.4,3.8,0.93
513579,2.0,3.6,1.8,3.4,3.2,1.42
310146,2.6,2.4,3.0,2.6,4.2,3.12
949970,2.8,3.4,1.8,4.4,3.8,1.15
537432,2.2,3.8,2.0,2.4,4.2,1.93
442060,2.0,3.2,1.8,3.6,3.6,0.96
705010,1.2,3.8,3.2,3.8,4.0,2.03
204365,4.2,3.4,3.8,1.8,3.2,1.24
574138,3.0,2.6,2.6,2.4,3.6,2.31
212800,3.0,3.0,3.4,4.4,3.8,1.38
814226,2.8,3.4,1.8,4.6,4.0,2.58
282777,1.6,3.0,2.4,3.4,4.0,2.23
876836,3.0,4.0,1.8,3.6,4.2,1.66
288170,3.8,3.2,2.4,2.8,3.6,3.41
360924,2.0,3.8,2.2,3.4,3.2,1.08
590029,2.4,3.4,2.6,4.8,4.0,1.69
674871,3.4,3.6,2.0,3.2,4.4,1.19
148198,2.8,3.8,2.4,3.6,3.4,4.76
340481,2.2,4.2,2.8,3.6,3.4,1.42
8482,1.8,3.4,3.2,2.6,3.6,1.3
942729,4.2,3.0,2.4,2.4,3.0,1.94
957846,3.4,3.4,2.4,3.2,3.6,1.64
817836,2.4,4.2,2.8,4.4,3.4,2.76
138704,3.6,3.0,1.8,3.4,4.4,1.11
295095,2.4,3.4,4.0,2.6,4.6,1.01
463452,2.0,2.6,1.8,1.8,4.2,2.24
710123,2.2,3.4,2.2,3.4,4.6,1.56
739855,4.6,2.4,2.0,2.8,4.0,2.53
538496,2.8,2.8,1.6,2.6,3.4,1.59
480532,1.8,3.4,2.6,4.2,5.0,1.33
448193,3.6,3.4,2.2,2.6,4.4,1.09
143410,1.0,3.4,2.8,1.2,4.2,1.14
554519,3.0,3.0,1.8,4.2,3.8,1.04
989007,2.0,2.6,2.2,4.8,4.0,1.74
160803,1.4,3.4,2.0,3.6,4.0,1.46
844368,2.2,3.4,2.8,3.0,3.8,1.77
896597,3.4,3.6,2.4,2.0,3.8,1.49
979622,4.4,3.6,2.8,3.6,4.2,1.24
726851,2.4,3.0,3.0,3.6,3.8,1.37
609946,2.2,3.4,2.2,4.0,4.4,1.35
610744,2.2,2.6,2.4,2.4,4.2,1.86
175287,4.0,2.6,2.0,2.0,3.4,1.04
770831,2.6,3.6,2.4,3.0,2.2,1.46
597988,1.0,3.4,1.8,4.2,3.8,1.96
552596,1.4,3.0,2.8,4.8,4.0,3.17
288081,2.8,3.6,2.4,4.6,3.8,2.4
953041,4.6,3.0,2.0,3.0,3.8,1.18
112618,2.8,2.8,2.8,3.0,4.0,2.25
726066,1.8,3.6,2.8,5.0,3.6,2.85
835946,3.6,3.4,2.0,3.0,4.0,2.11
103375,2.8,3.6,1.8,4.8,3.6,2.08
475559,1.4,3.2,3.0,3.2,4.4,1.9
797878,2.0,3.8,1.8,2.6,3.8,1.6
588048,1.4,3.0,2.2,2.2,3.4,1.47
836231,3.0,3.2,3.0,3.2,4.0,2.74
262826,2.6,3.2,3.0,3.0,3.2,2.35
800443,2.2,3.4,2.8,1.6,4.2,1.25
480939,2.2,3.4,2.8,2.6,4.6,2.85
340250,2.6,3.2,2.6,2.6,4.0,2.23
8769,1.8,3.4,2.8,4.0,3.0,2.45
823980,3.8,3.8,2.2,1.8,4.0,1.84
925293,1.2,3.0,2.6,2.4,4.0,1.22
86343,2.0,2.8,4.0,3.2,2.0,1.15
887115,2.0,2.6,3.2,1.8,2.8,1.91
134969,1.4,2.6,2.4,2.6,4.2,1.79
715576,1.8,3.6,2.4,4.2,3.4,2.46
482050,1.4,3.4,2.6,2.6,4.0,1.14
201068,2.4,3.4,2.6,2.8,3.4,2.85
66773,2.2,4.2,3.2,2.6,2.4,2.85
306389,2.0,3.8,2.4,3.2,3.6,1.05
903888,1.8,3.8,1.6,3.2,3.4,1.73
548199,4.0,4.0,3.0,4.8,4.0,1.85
343267,4.2,2.6,3.0,3.4,3.0,1.97
925241,3.8,3.2,2.6,2.0,3.4,2.99
228027,2.0,3.4,2.2,4.0,3.8,2.2
217556,4.0,2.4,2.0,1.4,4.0,1.9
561070,2.0,2.6,2.0,2.2,4.4,1.19
402708,5.0,3.8,2.6,4.8,3.8,2.5
242326,2.8,3.0,2.4,3.8,3.8,1.5
711661,1.8,2.6,2.2,3.4,4.2,2.64
998389,4.2,3.4,2.4,2.8,3.8,2.66
682148,2.2,2.4,2.6,2.4,3.8,2.04
