Nr;0-SSQ;0-BSS;0-SilhCoeff
0;1747.002866461197;9.869151843871542;0.5
1;1779.8131669894078;11.876019088716053;0.5
2;1792.6158624180762;8.929874785904293;0.5
3;1826.9054981420793;11.304255555022527;0.5
4;1712.0027065129127;10.813681381370483;0.5
5;1804.702237725936;9.478083265503674;0.5
6;1747.6991604689772;9.603232054447108;0.5
7;1824.6648036987228;10.777318562271546;0.5
8;1800.8396735737974;10.429702604729394;0.5
9;1777.1124751186;9.393604028320476;0.5
10;1753.3974417679979;10.730074040510592;0.5
11;1820.5034962936406;9.316412556036974;0.5
12;1860.853584469041;9.579237293994433;0.5
13;1813.920335894401;13.053658039294227;0.5
14;1803.0215458873652;9.265365279389645;0.5
15;1760.671356190922;9.0521072912685;0.5
16;1752.74982056929;11.487966852489965;0.5
17;1891.9198794865658;9.846452581163476;0.5
18;1754.7961268633026;9.458741429875861;0.5
19;1804.538914057854;10.165618111173593;0.5
20;1782.8633386088943;9.022324591544361;0.5
21;1827.5009132644268;8.465333250337713;0.5
22;1827.1773501324117;11.939522143298614;0.5
23;1788.0048589966837;9.516519470516464;0.5
24;1762.4718843852143;11.59963417703778;0.5
25;1849.9003265238928;8.50498239224284;0.5
26;1782.1303381753874;8.877793831220078;0.5
27;1756.594399453067;8.553203819678382;0.5
28;1815.1372445483182;12.257169427827396;0.5
29;1777.0787808596947;9.492515632369349;0.5
30;1758.1557352552663;8.85602837204856;0.5
31;1822.5107631576;11.642539305859701;0.5
32;1814.9658030718088;9.602423404370484;0.5
33;1804.9171901900456;9.223411768959767;0.5
34;1858.5982316211712;15.560136837347006;0.5
35;1731.1714455141923;8.9393518516182;0.5
36;1780.7196617944699;9.260905117452799;0.5
37;1838.2597501454768;10.431566091532087;0.5
38;1794.6835852909455;8.594898613583295;0.5
39;1784.1361396448874;8.945927891732264;0.5
40;1818.1785764254098;8.7899778957964;0.5
41;1747.7796787044492;8.272924579321218;0.5
42;1738.3328639631777;7.951976148729322;0.5
43;1810.7324988224598;8.642785403793349;0.5
44;1789.2965821631165;9.47442095419333;0.5
45;1859.0593721224436;10.959932059693053;0.5
