learning evaluation instances,evaluation time (cpu seconds),model cost (RAM-Hours),learned instances,detected changes,detected warnings,prediction error (average),true changes,delay detection (average),true changes detected,input values,model training instances,model serialized size (bytes)
4000.0,0.09576,4.379898309707641E-11,4000.0,1.0,0.0,0.8320519006086434,1.0,1604.0,1.0,1.8,4000.0,1768.0
4100.0,0.096793,4.427145959602462E-11,4100.0,1.0,0.0,0.833778249226064,1.0,1604.0,1.0,1.8,4100.0,1768.0
4200.0,0.097777,4.472152433461613E-11,4200.0,1.0,0.0,0.8349860093298413,1.0,1604.0,1.0,2.6,4200.0,1768.0
4300.0,0.098952,4.5258949200312294E-11,4300.0,1.0,0.0,0.8340990103172827,1.0,1604.0,1.0,2.2,4300.0,1768.0
4400.0,0.100709,4.606257089310222E-11,4400.0,1.0,0.0,0.8355379378512999,1.0,1604.0,1.0,3.0,4400.0,1768.0
4500.0,0.102403,4.683737746543354E-11,4500.0,1.0,0.0,0.8360064555430743,1.0,1604.0,1.0,2.8,4500.0,1768.0
4600.0,0.104136,4.7630021969477334E-11,4600.0,1.0,0.0,0.8363858945307162,1.0,1604.0,1.0,2.6,4600.0,1768.0
4700.0,0.106056,4.850819706916809E-11,4700.0,1.0,0.0,0.8358575634033252,1.0,1604.0,1.0,2.8,4700.0,1768.0
4800.0,0.107644,4.923452105787065E-11,4800.0,1.0,0.0,0.8354535924746612,1.0,1604.0,1.0,3.2,4800.0,1768.0
4900.0,0.109224,4.995718598365783E-11,4900.0,1.0,0.0,0.8355942521774281,1.0,1604.0,1.0,2.0,4900.0,1768.0
5000.0,0.11059,5.058197097645865E-11,5000.0,1.0,0.0,0.835566363121185,1.0,1604.0,1.0,1.8,5000.0,1768.0
5100.0,0.111598,5.10430129037963E-11,5100.0,1.0,0.0,0.8333044349473054,1.0,1604.0,1.0,2.2,5100.0,1768.0
5200.0,0.112582,5.149307764238781E-11,5200.0,1.0,0.0,0.8320211052807516,1.0,1604.0,1.0,2.0,5200.0,1768.0
5300.0,0.113511,5.19179863234361E-11,5300.0,1.0,0.0,0.8309289389152709,1.0,1604.0,1.0,2.8,5300.0,1768.0
5400.0,0.114812,5.251304143004947E-11,5400.0,1.0,0.0,0.8315468237631977,1.0,1604.0,1.0,1.8,5400.0,1768.0
5500.0,0.115899,5.301021660367647E-11,5500.0,1.0,0.0,0.8322507287091154,1.0,1604.0,1.0,2.2,5500.0,1768.0
5600.0,0.116923,5.347857665684487E-11,5600.0,1.0,0.0,0.8324210056698292,1.0,1604.0,1.0,2.6,5600.0,1768.0
5700.0,0.117871,5.391217561231718E-11,5700.0,1.0,0.0,0.8318647258857039,1.0,1604.0,1.0,3.4,5700.0,1768.0
5800.0,0.118949,5.440523434016438E-11,5800.0,1.0,0.0,0.8322148514450551,1.0,1604.0,1.0,2.0,5800.0,1768.0
5900.0,0.120691,5.520199528998797E-11,5900.0,1.0,0.0,0.8314036923640222,1.0,1604.0,1.0,3.0,5900.0,1768.0
6000.0,0.122416,5.599098073111639E-11,6000.0,1.0,0.0,0.8309878810552999,1.0,1604.0,1.0,2.0,6000.0,1768.0
