Nr;0-SSQ;0-BSS;0-SilhCoeff
0;1915.7685179850978;451081.5138348489;0.516184792228355
1;1967.0641578354061;429302.3716347379;0.5174503294141017
2;2007.813015444479;378612.55302744353;0.518753433951441
3;2032.800019662886;349410.200908127;0.520466219446671
4;1906.6372066715242;289975.7111320603;0.5173187780327613
5;2032.8172827689377;225799.72405102596;0.5161709049315587
6;1952.0958837128862;188137.9534078118;0.5161505390300674
7;2041.4453030357008;124644.53566314386;0.5216015700758272
8;2015.7689513359464;68141.13537629934;0.5194447775513122
9;1776.0583623203022;20515.170357605726;0.5239746650086216
10;1751.1247023365788;27406.096702630308;0.5159896865490238
11;1825.3493233769677;31522.84579957192;0.5254245720997419
12;1851.1021523525771;40782.869852004;0.517377468706252
13;1826.5165383688595;76470.38243389895;0.526429033414521
14;1838.0892469977555;71328.71665780865;0.5262415250160388
15;1773.5073913774584;84337.8098575733;0.5273019455592962
16;1779.3808001330835;136447.30457415024;0.5222059694677584
17;1916.480473770261;145391.38186627012;0.5301026130150848
18;1770.2593936936075;171502.49243455962;0.5207199946678716
19;1828.5806038142937;222924.00955119747;0.5286317691434909
20;1802.772562280059;266386.64839354367;0.5263251705374303
21;1851.7892525424281;286317.4867201663;0.5283846206515055
22;1839.084043053278;415655.4008897318;0.5284851990532825
23;1791.5534080846417;364874.12909591023;0.5298463159895448
24;1771.0873564085189;496163.7701496802;0.5284083369301813
25;1867.9177585391303;405374.59988582094;0.5297110289175996
26;1801.5012843914278;452861.48124949844;0.5340514604200299
27;1794.854168973969;505349.5320831612;0.5262523360297315
28;1845.266987657811;738832.9642522709;0.5250979206474445
29;1790.219353549427;723976.980239986;0.522187278893049
30;1778.9558729070047;725647.9890791785;0.529110878871963
31;1841.6160420608492;1097040.6555328208;0.5303644911518541
32;1846.814204247204;1053869.2317992034;0.5262106066147896
33;1845.7260901091993;1187626.6591564796;0.5320767192568965
34;1887.4014031719723;2088659.3769650457;0.53621255281327
35;1767.1799134123892;1602393.3624272596;0.5347610020614532
36;1827.1237201405445;1827472.440056481;0.536022185906236
37;1915.3753339816367;2603436.0657924474;0.5337370607047017
38;1913.6691798698546;2555995.07354519;0.538410298380575
39;1842.9586445430295;3049246.067749883;0.5384676969167509
40;1904.329653947214;3345558.160386506;0.5359852716281184
41;1891.9962421558596;4023912.261538673;0.539152849161444
42;1835.61010174314;3625670.1647762554;0.5384550727791338
43;1885.7773394420046;4137829.8049563477;0.544114229436718
44;1878.7648393739773;4783628.574091576;0.5398876463459173
45;1952.6702065071465;5804349.568418499;0.5277760105000262
