Nr;0-SSQ;0-BSS;0-SilhCoeff
0;2001.4439226917043;1490.2958813099199;0.62894318246772
1;1850.5703185421007;2173.5690181777545;0.6420737027979478
2;1967.50890894102;1657.6588207221437;0.6389096148375073
3;2250.0239298743204;1542.6891811510734;0.6212746593049873
4;1815.4763179745344;2362.434879596747;0.6450422339119086
5;2011.3606152482653;1523.6428890690281;0.6388941856180551
6;1862.0584010177301;1876.9748883402488;0.6745999362069061
7;1977.293959999115;2025.9511018870476;0.6590961951476685
8;1943.3160719118205;2249.405592519748;0.6518554565216248
9;1973.7617526161816;1764.0333882587563;0.6513902961744942
10;1829.3604799973846;2188.8602470636542;0.633991738866854
11;1996.8231781279208;1894.2480501438881;0.6438188696097411
12;1915.2196122589846;1705.2461284844865;0.6335651742996369
13;1944.787148994998;2442.559678720545;0.6435015222979693
14;1984.6442215913341;1645.102164844305;0.6374871602316804
15;1946.8736160099875;1584.324430783148;0.6413640556829129
16;1949.8922511562555;2462.5858621465095;0.662584974749234
17;2010.0125743601793;1701.4906762895284;0.6479418125080447
18;1857.6363138872564;1704.6948647600527;0.6534553714563751
19;1884.7557589627925;2081.300452192256;0.6587554873200805
20;2065.9347307841203;1833.6045096015587;0.6525303936465311
21;1867.2462249624791;1950.2586489213081;0.6483821224747905
22;1923.4600994921911;2298.0538740076167;0.655104857414038
23;1882.6767155292855;2012.0547478839608;0.6429607361312184
24;2053.794478840605;2468.7878054476;0.6547369524822565
25;1967.9073292753937;1682.5734325288238;0.645124552021868
26;2008.6214649919914;1924.5195467529559;0.6251721214221433
27;1810.4229814863609;2081.1535450120714;0.642167107092781
28;1880.8129198261724;2352.2408444970515;0.6713906202308128
29;1816.7807815048375;2282.2796500801137;0.6770520893254327
30;1898.6792964480642;2231.6322275635175;0.6702761624611794
31;1951.4354144150695;2113.627874590682;0.642372514129413
32;2047.7723739806734;1312.8004685136282;0.6137055978921641
33;1909.435543371333;1867.2414548760562;0.6212690658962392
34;1941.5973266934625;2607.054721657866;0.6520152595148458
35;1860.7316351688712;2050.441718520772;0.6538212893214829
36;2077.9832451365505;1833.359619726582;0.6312361104644111
37;1936.6360934512559;2332.7397652136438;0.649480777909402
38;1833.309518394382;2012.1473804073726;0.6490346070032809
39;1907.3578727900322;1349.0807445563455;0.6463589679573509
40;1951.5941089657758;2050.0857365681277;0.657232199211753
41;1857.0180365084875;1641.5909174220353;0.6480047299415453
42;1860.0491617528626;1829.6712443899462;0.6405479944947092
43;1929.7441826405322;1981.8105356005906;0.6550786396058399
44;1985.9185859895447;1791.7120212659463;0.6788454137306236
45;2019.3517820678405;2281.3914062075673;0.6408079135651812
